Label,OpArea, OpStaticEnergy, OpDynEnergy,InstMemBitwidth, InstMemDepth,InstMemArea, InstMemStaticEn,InstMemDynEn,InternalRegFileBitwidth,InternalRegFileDepth,InternalRegFileAccesses,InternalRegFileArea, InternalRegFileStaticEn, InternalRegFileDynEn,TotalFUArea,TotalFUStaticEn,TotalFUDynEn
add_0,1854.383979,0.361825,2.436780,32,10,2286.815976,0.465620,0.019229,64,10,32,4480.223954,1.021450,1.392860,8621.423909,1.402504,25.952947
add_1,1854.383979,0.361825,2.436780,32,3,817.487992,0.165655,0.010257,64,4,8,2006.591976,0.416555,0.216613,4678.463947,0.788637,7.557723
add_2,1854.383979,0.361825,2.436780,32,4,1033.535988,0.209415,0.013193,64,4,8,2006.591976,0.416555,0.216613,4894.511943,0.791573,10.016505
add_3,1854.383979,0.361825,2.436780,32,2,598.751994,0.119785,0.010196,64,2,4,1182.383988,0.237495,0.080036,3635.519961,0.609516,4.973988
add_4,1854.383979,0.361825,2.436780,32,1,399.260876,0.076313,0.006251,64,1,2,781.945432,0.162846,0.030129,3035.590287,0.530921,2.473160
mul_0,33555.311530,6.193750,52.428970,32,18,3957.071956,0.812650,0.031904,64,20,70,8535.743906,1.773750,4.727722,46048.127392,7.999404,949.023455
mul_1,33555.311530,6.193750,52.428970,32,7,1630.607982,0.333460,0.013062,64,9,24,4063.247954,0.910000,0.880724,39249.167466,7.116812,367.974952
load_0,0,0,0,16,50,5505.315299,1.113500,0.067021,64,1,69,781.945432,0.162846,1.039456,6287.260731,1.276346,4.390483
store_0,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_1,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_2,0,0,0,16,1,209.528638,0.041625,0.004234,64,1,2,781.945432,0.162846,0.030129,991.474070,0.204471,0.034364
store_3,0,0,0,16,2,308.447998,0.061345,0.004658,64,2,4,1182.383988,0.237495,0.080036,1490.831986,0.298840,0.089351
