MaxLatency,ActualMaxLatency,Area,StaticPower,DynamicPower,TotalEnergy,add,mul,load,store,L1_Banks,L1_Depth,TotalEnergyIncludingL2,TotalAreaIncudingL2,TotalLatencyIncludingL2WriteBack
147,147,362963,9612.38,65.3903,9677.77,6,9,6,5,0,0,13630.7,1.24294e+06,172
148,148,361524,9699.81,65.5393,9765.35,5,9,3,5,0,0,13735.4,1.2415e+06,173
149,149,328562,8860.95,59.4695,8920.42,6,8,2,5,0,0,12907.7,1.20854e+06,174
150,150,258264,6981.5,46.5433,7028.04,5,6,2,5,0,0,11032.4,1.13824e+06,175
151,151,257429,6991.24,46.2996,7037.54,5,6,2,5,0,0,11059.1,1.1374e+06,176
152,152,219932,5999.98,39.4736,6039.46,4,5,1,4,0,0,10078.1,1.09991e+06,177
153,153,223274,6141.57,40.141,6181.71,5,5,1,5,0,0,10237.5,1.10325e+06,178
154,154,189164,5214.3,33.8591,5248.16,5,4,1,5,0,0,9303.99,1.06914e+06,179
155,155,189108,5254.99,33.9031,5288.89,5,4,1,4,0,0,9361.87,1.06908e+06,180
156,156,156682,4372.13,28.0264,4400.15,5,3,1,5,0,0,8490.28,1.03666e+06,181
157,157,156667,4390.13,27.9626,4418.09,5,3,1,5,0,0,8525.37,1.03664e+06,182
158,158,156688,4407.98,27.8986,4435.88,5,3,1,5,0,0,8560.3,1.03666e+06,183
159,159,155060,4391.91,27.6221,4419.53,5,3,1,5,0,0,8561.11,1.03504e+06,184
160,160,117586,3326.26,20.7891,3347.05,4,2,1,3,0,0,7505.77,997561,185
161,161,120064,3416.6,21.2211,3437.82,5,2,1,4,0,0,7613.69,1.00004e+06,186
162,162,117256,3358.76,20.7331,3379.49,4,2,1,4,0,0,7555.36,997232,187
163,163,120915,3492.76,21.428,3514.19,5,2,1,4,0,0,7707.21,1.00089e+06,188
164,164,115666,3336.92,20.347,3357.26,3,2,1,4,0,0,7567.43,995641,189
165,165,121679,3566.85,21.6173,3588.47,5,2,1,4,0,0,7815.79,1.00165e+06,190
166,166,115683,3404.49,20.509,3425,3,2,1,4,0,0,7669.46,995658,191
167,167,122580,3634.21,21.7617,3655.97,5,2,1,5,0,0,7917.58,1.00256e+06,192
168,168,119278,3549.61,21.1286,3570.74,4,2,1,4,0,0,7849.51,999254,193
169,169,115235,3413.15,20.1961,3433.34,3,2,1,4,0,0,7729.26,995210,194
170,170,118061,3524.35,20.7315,3545.08,4,2,1,4,0,0,7840.99,998037,195
171,171,118030,3560.9,20.824,3581.73,4,2,1,4,0,0,7894.79,998005,196
172,172,118459,3602.32,20.9437,3623.26,4,2,1,4,0,0,7953.48,998434,197
173,173,118025,3605.72,20.8423,3626.56,4,2,1,3,0,0,7973.92,998000,198
174,174,114428,3501.48,20.1234,3521.6,3,2,1,4,0,0,7886.11,994403,199
175,175,118411,3653.49,20.8771,3674.37,4,2,1,4,0,0,8056.03,998386,200
176,176,117616,3645.46,20.7129,3666.17,4,2,1,4,0,0,8064.98,997591,201
177,177,84693.1,2585.36,14.6066,2599.97,5,1,1,4,0,0,7015.93,964669,202
178,178,83127.4,2562.19,14.3943,2576.59,4,1,1,4,0,0,6992.54,963103,203
179,179,83156.1,2582.49,14.4273,2596.92,4,1,1,4,0,0,7030.02,963132,204
180,180,85135,2644.42,14.6912,2659.11,5,1,1,4,0,0,7109.37,965110,205
181,181,80277.3,2497.33,13.7974,2511.12,3,1,1,4,0,0,6978.53,960253,206
182,182,79458.5,2483.68,13.6466,2497.33,3,1,1,3,0,0,6981.88,959434,207
183,183,77450.3,2431.49,13.2868,2444.77,2,1,1,4,0,0,6946.48,957426,208
184,184,76531.9,2411.06,13.1036,2424.17,2,1,1,2,0,0,6943.02,956507,209
185,185,76512.4,2427.69,13.1226,2440.81,2,1,1,2,0,0,6976.81,956488,210
186,186,77016.2,2455.06,13.1992,2468.25,2,1,1,3,0,0,7004.26,956992,211
187,187,74606.5,2390.17,12.7816,2402.95,1,1,1,3,0,0,6956.1,954582,212
188,188,74131.1,2385.49,12.6888,2398.18,1,1,1,2,0,0,6968.47,954107,213
189,189,73638.2,2377.78,12.5809,2390.36,1,1,1,1,0,0,6977.81,953614,214
